cik,original,cloned
1599746,4.6,9.6
1527570,-28.8,-24.0
1575301,15.0,15.1
915287,-21.2,-16.7
1299939,-1.6,-22.0
1618376,32.6,33.2
1471085,30.0,26.5
1596355,-13.0,-14.0
1607355,-6.6,-3.4
1712533,2.6,6.3
936698,61.2,-6.9
1105087,10.1,30.5
1569137,1.9,-3.2
1587643,135.5,247.6
1102256,-6.7,32.2
1650290,13.8,16.3
1761663,33.0,19.8
1800687,12.2,15.5
1756485,-14.7,5.1
1776082,31.8,41.1
1650654,7.4,3.4
1426319,-6.6,-1.2
1798756,-2.3,1.8
1735513,-7.6,-1.9
276101,-13.5,-0.2
1447578,7.1,8.6
1425930,143.8,20.3
1356249,10.7,13.7
1541399,0.0,3.8
1469475,-12.4,38.3
1679118,8.6,9.7
1537319,0.4,28.1
1317679,-22.4,8.3
1478735,6.0,-0.2
1280043,-0.4,1.9
1705716,1.2,2.6
1353394,27.1,30.2
1307878,-8.3,-1.1
1691908,-17.7,11.7
1142941,-1.3,3.0
1776821,9.0,12.2
1693809,-6.2,74.4
1029730,19.3,-29.7
1679543,14.2,13.7
1453381,-4.8,3.7
1730896,51.0,50.3
1535227,45.9,137.9
1683059,53.9,31.6
1468792,3.1,16.8
200724,6.8,8.7
1799677,4.2,11.3
1705711,-13.3,-9.7
1007295,17.0,132.9
1434845,-0.1,2.9
1652594,8.2,18.7
1671716,6.7,16.0
1535811,-1.8,13.8
1228773,-38.3,-31.5
1483938,4.0,195.0
1455288,87.7,-5.8
1569356,20.4,66.6
1800620,-18.3,-16.9
1409751,13.9,10.4
1022314,0.5,1.8
1730630,4.6,5.7
941560,6.5,7.4
1411133,8.5,27.7
1133119,-3.8,6.7
1728436,-13.0,-10.8
1044905,-5.9,-3.2
1599371,-22.8,-22.8
1082215,-4.8,-1.5
1489859,-11.8,-11.4
712534,3.8,47.6
1566113,-2.5,-2.4
1623707,12.1,23.5
1600585,6.1,-13.5
1329375,-19.5,-16.5
1744317,102.7,152.1
1721780,-2.3,2.4
1803255,73.1,62.3
1802387,67.3,87.4
1609098,-3.3,-3.5
1668256,3.9,10.7
1322590,77.3,-1.6
1561790,158.1,24.8
