cik,alpha,beta,ariMeanRt,geoMeanRt,cagr,sharpe,sortino,annVol,maxDD,annExcessReturn,TE,IR
1552426,2.9,1.01,13.7,14.4,13.9,1.282,3.632,9.1,-4.73,3.0,3.4,0.882
1276460,-8.3,1.566,10.1,10.5,2.4,0.222,0.334,36.5,-59.76,-2.4,14.7,-0.163
1427351,-4.3,1.152,10.4,10.8,8.6,0.416,0.757,20.1,-23.93,-2.7,3.6,-0.75
1638022,7.5,0.687,16.8,17.9,16.2,0.838,1.773,17.7,-12.61,4.1,7.2,0.569
1422849,-6.7,0.989,5.7,5.8,4.4,0.226,0.395,16.2,-22.97,-6.8,3.5,-1.943
1128251,-22.3,0.742,-12.5,-12.0,-14.5,-0.667,-0.673,21.8,-43.57,-25.0,9.7,-2.577
102909,2.7,1.023,15.4,16.3,14.8,0.824,1.162,16.3,-19.98,2.9,3.0,0.967
1567163,2.0,0.712,11.5,12.0,10.1,0.496,1.014,19.2,-17.62,-1.0,8.3,-0.12
1697366,20.0,0.873,31.4,35.3,8.0,0.374,0.78,78.6,-66.86,18.7,38.6,0.484
1325083,1.3,1.317,17.1,18.3,-6.4,0.265,0.368,57.1,-81.52,4.6,26.9,0.171
1444055,-7.1,0.587,0.7,0.7,-2.8,-0.051,0.011,25.3,-35.41,-11.1,12.3,-0.902
1608485,-33.7,1.546,-16.1,-15.1,-23.3,-0.433,-0.593,41.7,-51.17,-28.2,17.7,-1.593
1021926,-6.3,0.971,5.8,6.0,4.4,0.223,0.451,17.3,-20.06,-6.7,4.8,-1.396
1455267,2.2,0.902,13.6,14.4,12.9,0.728,1.075,16.0,-23.05,1.1,4.5,0.244
1038661,7.7,1.353,23.9,26.1,15.8,0.455,0.883,48.2,-42.05,11.4,22.0,0.518
1535660,-8.9,0.856,1.5,1.6,-18.5,-0.007,0.031,66.8,-76.13,-10.3,32.8,-0.314
1714678,-4.1,0.963,8.0,8.2,6.4,0.329,0.54,18.2,-21.67,-4.5,3.0,-1.5
1759485,16.8,0.91,28.7,32.0,27.2,0.951,1.471,28.1,-24.77,15.8,11.4,1.386
1535452,-21.8,1.416,-3.6,-3.6,-8.7,-0.194,-0.147,28.8,-57.09,-17.1,10.2,-1.676
826154,-11.0,0.312,-5.0,-5.0,-5.7,-0.584,-0.581,12.1,-18.19,-19.8,7.5,-2.64
1739594,33.7,0.952,45.8,54.2,49.1,1.48,3.817,29.6,-12.73,33.1,11.4,2.904
39263,-1.1,1.058,12.0,12.6,10.9,0.562,0.853,17.9,-21.34,-0.5,4.3,-0.116
1568891,-19.5,1.566,-2.1,-2.1,-8.2,-0.126,-0.088,32.6,-51.22,-14.0,12.0,-1.167
